date,hrv_ms,spo2_avg,respiration_avg,avg_activity_hr,total_cals
2026-03-10,,,16.0,153.5,188.0
2026-03-11,,,16.0,90.0,0.0
2026-03-12,,,16.0,182.0,392.0
2026-03-13,,,16.0,179.0,345.0
2026-03-14,47.0,,17.0,121.0,564.0
2026-03-15,47.0,,16.0,182.5,796.0
2026-03-23,36.0,,17.0,143.5,488.0
2026-03-24,40.0,,17.0,142.0,337.0
2026-03-26,50.0,,17.0,193.0,814.0
2026-03-27,53.0,,16.0,115.0,634.0
2026-03-28,56.0,,17.0,153.0,1135.0
2026-03-29,55.0,,17.0,167.5,1231.0
2026-03-30,59.0,,17.0,120.0,328.0
2026-03-31,60.0,,16.0,122.0,283.0
2026-04-01,61.0,,15.0,158.0,908.0
2026-04-02,60.0,93.0,16.0,173.0,465.0
2026-04-03,59.0,92.0,16.0,159.0,40.0
2026-04-04,56.0,94.0,16.0,133.0,508.0
2026-04-05,56.0,92.0,17.0,,
2026-04-06,55.0,94.0,17.0,180.5,785.0
2026-04-07,54.0,93.0,17.0,185.0,334.0
2026-04-08,54.0,94.0,16.0,171.0,462.0
2026-04-09,52.0,94.0,17.0,165.5,1204.0
2026-04-10,54.0,94.0,16.0,110.0,370.0
2026-04-11,54.0,,17.0,114.0,451.0
2026-04-12,55.0,91.0,17.0,176.0,1017.0
2026-04-13,55.0,94.0,15.0,148.0,682.0
2026-04-14,56.0,95.0,17.0,164.0,653.0
2026-04-15,57.0,94.0,16.0,119.0,415.0
2026-04-16,58.0,95.0,17.0,117.0,56.0
2026-04-17,56.0,,15.0,181.0,641.0
2026-04-18,56.0,,16.0,167.0,1019.0
2026-04-19,53.0,96.0,16.0,175.5,598.0
2026-04-20,52.0,95.0,15.0,159.3,578.0
2026-04-21,46.0,,15.0,134.0,408.0
2026-04-22,44.0,95.0,15.0,129.0,239.0
2026-04-23,40.0,96.0,16.0,116.0,145.0
2026-04-24,40.0,93.0,16.0,112.0,44.0
2026-04-25,40.0,94.0,16.0,168.0,247.0
2026-04-26,39.0,97.0,16.0,174.0,1115.0
2026-04-27,40.0,94.0,16.0,155.0,242.0
2026-04-28,42.0,95.0,16.0,160.0,256.0
2026-04-29,42.0,94.0,16.0,160.0,260.0
2026-04-30,43.0,95.0,17.0,121.0,307.0
2026-05-01,45.0,93.0,16.0,174.0,648.0
2026-05-02,44.0,94.0,16.0,142.0,1318.0
2026-05-03,41.0,,16.0,137.0,193.0
2026-05-04,41.0,94.0,16.0,148.0,391.0
2026-05-05,41.0,94.0,15.0,,
2026-05-06,41.0,92.0,15.0,166.0,394.0
2026-05-07,45.0,93.0,12.0,,
2026-05-08,47.0,92.0,16.0,163.0,427.0
2026-05-09,49.0,94.0,16.0,140.5,1070.0
2026-05-10,51.0,95.0,15.0,,
2026-05-11,54.0,94.0,15.0,,
